"TIME","CH1","CH2","CH3"
-2.0000e+00,0.06,0.05,0.02
-1.9996e+00,0.01,0.02,0.01
-1.9992e+00,0.02,0,-0.02
-1.9988e+00,0.04,0.01,0
-1.9984e+00,0.1,0.02,0.02
-1.9980e+00,0.09,0.04,0.01
-1.9976e+00,0.02,0.01,-0.02
-1.9972e+00,0.05,-0.02,-0.01
-1.9968e+00,0.08,0.01,0.02
-1.9964e+00,0.1,0,0
-1.9960e+00,0.06,-0.01,-0.01
-1.9956e+00,0.02,0.01,-0.03
-1.9952e+00,0.03,0,-0.03
-1.9948e+00,0.06,0.02,0
-1.9944e+00,0.03,0,0
-1.9940e+00,-0.01,-0.01,-0.03
-1.9936e+00,1.42109e-16,-0.02,-0.01
-1.9932e+00,0.03,0,-0.01
-1.9928e+00,0.03,0,0.01
-1.9924e+00,-0.03,-0.03,-0.01
-1.9920e+00,-0.09,-0.04,-0.04
-1.9916e+00,-0.01,0.01,0
-1.9912e+00,-0.05,-0.01,0
-1.9908e+00,-0.05,-0.02,0
-1.9904e+00,-0.1,-0.03,-0.02
-1.9900e+00,-0.06,-0.01,-0.03
-1.9896e+00,-0.04,0.01,0.01
-1.9892e+00,-0.06,-0.01,0.01
-1.9888e+00,-0.08,-0.01,-0.03
-1.9884e+00,-0.1,-0.01,-0.04
-1.9880e+00,-0.14,-0.03,-0.03
-1.9876e+00,-0.15,-0.04,0.01
-1.9872e+00,-0.21,-0.01,-0.01
-1.9868e+00,-0.24,-0.05,-0.03
-1.9864e+00,-0.19,-0.02,-0.03
-1.9860e+00,-0.21,-0.02,-0.01
-1.9856e+00,-0.23,-0.04,-0.01
-1.9852e+00,-0.25,-0.04,-0.03
-1.9848e+00,-0.23,-0.02,-0.01
-1.9844e+00,-0.21,-0.02,0
-1.9840e+00,-0.15,-0.02,0
-1.9836e+00,0.36,0.31,0.18
-1.9832e+00,0.24,0.01,-0.01
-1.9828e+00,0.23,0,-0.01
-1.9824e+00,0.24,0.01,0
-1.9820e+00,0.17,0,0
-1.9816e+00,0.11,0,-0.01
-1.9812e+00,0.12,0,-0.02
-1.9808e+00,0.16,0,0.01
-1.9804e+00,0.13,0.02,0.01
-1.9800e+00,0.1,0.02,-0.01
-1.9796e+00,0.09,0.01,-0.01
-1.9792e+00,0.09,-0.02,-0.02
-1.9788e+00,0.1,0,0.01
-1.9784e+00,0.04,-0.01,-0.01
-1.9780e+00,0.02,-0.01,-0.03
-1.9776e+00,0.06,-0.01,-0.02
-1.9772e+00,0.06,0.01,0.01
-1.9768e+00,0.05,0.01,0.01
-1.9764e+00,0.02,-0.01,-0.02
-1.9760e+00,-0.02,-0.02,-0.03
-1.9756e+00,1.42109e-16,-0.01,-0.01
-1.9752e+00,0.03,0.01,0.01
-1.9748e+00,0.01,0,0.01
-1.9744e+00,-0.08,-0.03,-0.03
-1.9740e+00,-0.04,0,-0.02
-1.9736e+00,0.02,0,0.01
-1.9732e+00,-0.04,0.01,0.01
-1.9728e+00,-0.05,-0.02,-0.03
-1.9724e+00,-0.06,-0.02,-0.02
-1.9720e+00,-0.03,0,0
-1.9716e+00,-0.03,-0.01,0.02
-1.9712e+00,-0.06,-0.01,0.01
-1.9708e+00,-0.07,0,-0.01
-1.9704e+00,-0.04,0,0
-1.9700e+00,1.42109e-16,0.01,0.02
-1.9696e+00,-0.07,0.02,-0.01
-1.9692e+00,-0.06,0,-0.03
-1.9688e+00,-0.04,-0.01,-0.01
-1.9684e+00,1.42109e-16,0.01,0
-1.9680e+00,-0.01,0.01,0.02
-1.9676e+00,-0.04,-0.01,0
-1.9672e+00,-0.05,0,-0.02
-1.9668e+00,0.01,0,-0.02
-1.9664e+00,0.05,0,0.01
-1.9660e+00,0.05,-0.01,-0.01
-1.9656e+00,1.42109e-16,-0.01,-0.03
-1.9652e+00,0.04,0.02,-0.01
